empresa,codigo,clv_art,precio_std_1,fecha_std_1,precio_std_2,precio_std_3,precio_std_4,precio_u_entrada,moneda,cambio,cambio_euro,tipo_iva,variante,empresa_id,codigo_id,moneda_id,name
,C0051200C,,,,,,,,,1.000000,,1,STAND,0,0_C0051200C,,0_C0051200C_STAND
,C0061200C,,,,,,,,,1.000000,,1,STAND,0,0_C0061200C,,0_C0061200C_STAND
,C0063101C,,,,,,,,,1.000000,,1,STAND,0,0_C0063101C,,0_C0063101C_STAND
,C0063201C,,,,,,,,,1.000000,,1,STAND,0,0_C0063201C,,0_C0063201C_STAND
,C0042102C,,,,,,,,,1.000000,,1,STAND,0,0_C0042102C,,0_C0042102C_STAND
,C0042202C,,,,,,,,,1.000000,,1,STAND,0,0_C0042202C,,0_C0042202C_STAND
,C0052102C,,,,,,,,,1.000000,,1,STAND,0,0_C0052102C,,0_C0052102C_STAND
,C0052202C,,,,,,,,,1.000000,,1,STAND,0,0_C0052202C,,0_C0052202C_STAND
,C0041102C,,,,,,,,,1.000000,,1,STAND,0,0_C0041102C,,0_C0041102C_STAND
,C0142100C,,,,,,,,,1.000000,,1,STAND,0,0_C0142100C,,0_C0142100C_STAND
,C0123100C,,,,,,,,,1.000000,,1,STAND,0,0_C0123100C,,0_C0123100C_STAND
,C0103100C,,,,,,,,,1.000000,,1,STAND,0,0_C0103100C,,0_C0103100C_STAND
,C0113100C,,,,,,,,,1.000000,,1,STAND,0,0_C0113100C,,0_C0113100C_STAND
,C0132100C,,,,,,,,,1.000000,,1,STAND,0,0_C0132100C,,0_C0132100C_STAND
,C0132200C,,,,,,,,,1.000000,,1,STAND,0,0_C0132200C,,0_C0132200C_STAND
,C0136100C,,,,,,,,,1.000000,,1,STAND,0,0_C0136100C,,0_C0136100C_STAND
,C0136200C,,,,,,,,,1.000000,,1,STAND,0,0_C0136200C,,0_C0136200C_STAND
,C0084100C,,,,,,,,,1.000000,,1,STAND,0,0_C0084100C,,0_C0084100C_STAND
,C0094100C,,,,,,,,,1.000000,,1,STAND,0,0_C0094100C,,0_C0094100C_STAND
,C0123101C,,,,,,,,,1.000000,,1,STAND,0,0_C0123101C,,0_C0123101C_STAND
,C0123301C,,,,,,,,,1.000000,,1,STAND,0,0_C0123301C,,0_C0123301C_STAND
,C0103101C,,,,,,,,,1.000000,,1,STAND,0,0_C0103101C,,0_C0103101C_STAND
,C0113101C,,,,,,,,,1.000000,,1,STAND,0,0_C0113101C,,0_C0113101C_STAND
,C0132101C,,,,,,,,,1.000000,,1,STAND,0,0_C0132101C,,0_C0132101C_STAND
,C0132201C,,,,,,,,,1.000000,,1,STAND,0,0_C0132201C,,0_C0132201C_STAND
,C0136101C,,,,,,,,,1.000000,,1,STAND,0,0_C0136101C,,0_C0136101C_STAND
,C0136201C,,,,,,,,,1.000000,,1,STAND,0,0_C0136201C,,0_C0136201C_STAND
,C0094301C,,,,,,,,,1.000000,,1,STAND,0,0_C0094301C,,0_C0094301C_STAND
,C0034100C,,,,,,,,,1.000000,,1,STAND,0,0_C0034100C,,0_C0034100C_STAND
,C0014100C,,,,,,,,,1.000000,,1,STAND,0,0_C0014100C,,0_C0014100C_STAND
,C0024100C,,,,,,,,,1.000000,,1,STAND,0,0_C0024100C,,0_C0024100C_STAND
,C0035100C,,,,,,,,,1.000000,,1,STAND,0,0_C0035100C,,0_C0035100C_STAND
,C0015100C,,,,,,,,,1.000000,,1,STAND,0,0_C0015100C,,0_C0015100C_STAND
,C0025100C,,,,,,,,,1.000000,,1,STAND,0,0_C0025100C,,0_C0025100C_STAND
,C0034302C,,,,,,,,,1.000000,,1,STAND,0,0_C0034302C,,0_C0034302C_STAND
,C0033100D,,,,,,,,,1.000000,,1,STAND,0,0_C0033100D,,0_C0033100D_STAND
,C0012100D,,,,,,,,,1.000000,,1,STAND,0,0_C0012100D,,0_C0012100D_STAND
,C0012200D,,,,,,,,,1.000000,,1,STAND,0,0_C0012200D,,0_C0012200D_STAND
,C0011200D,,,,,,,,,1.000000,,1,STAND,0,0_C0011200D,,0_C0011200D_STAND
,C0021200D,,,,,,,,,1.000000,,1,STAND,0,0_C0021200D,,0_C0021200D_STAND
,C0031200D,,,,,,,,,1.000000,,1,STAND,0,0_C0031200D,,0_C0031200D_STAND
,C0063100D,,,,,,,,,1.000000,,1,STAND,0,0_C0063100D,,0_C0063100D_STAND
,C0063200D,,,,,,,,,1.000000,,1,STAND,0,0_C0063200D,,0_C0063200D_STAND
,C0042100D,,,,,,,,,1.000000,,1,STAND,0,0_C0042100D,,0_C0042100D_STAND
,C0042200D,,,,,,,,,1.000000,,1,STAND,0,0_C0042200D,,0_C0042200D_STAND
,C0052200D,,,,,,,,,1.000000,,1,STAND,0,0_C0052200D,,0_C0052200D_STAND
,C0041200D,,,,,,,,,1.000000,,1,STAND,0,0_C0041200D,,0_C0041200D_STAND
,C0051200D,,,,,,,,,1.000000,,1,STAND,0,0_C0051200D,,0_C0051200D_STAND
,C0061200D,,,,,,,,,1.000000,,1,STAND,0,0_C0061200D,,0_C0061200D_STAND
,C0063101D,,,,,,,,,1.000000,,1,STAND,0,0_C0063101D,,0_C0063101D_STAND
,C0063201D,,,,,,,,,1.000000,,1,STAND,0,0_C0063201D,,0_C0063201D_STAND
,C0042102D,,,,,,,,,1.000000,,1,STAND,0,0_C0042102D,,0_C0042102D_STAND
,C0042202D,,,,,,,,,1.000000,,1,STAND,0,0_C0042202D,,0_C0042202D_STAND
,C0052102D,,,,,,,,,1.000000,,1,STAND,0,0_C0052102D,,0_C0052102D_STAND
,C0052202D,,,,,,,,,1.000000,,1,STAND,0,0_C0052202D,,0_C0052202D_STAND
,C0041102D,,,,,,,,,1.000000,,1,STAND,0,0_C0041102D,,0_C0041102D_STAND
,C0142100D,,,,,,,,,1.000000,,1,STAND,0,0_C0142100D,,0_C0142100D_STAND
,C0123100D,,,,,,,,,1.000000,,1,STAND,0,0_C0123100D,,0_C0123100D_STAND
,C0103100D,,,,,,,,,1.000000,,1,STAND,0,0_C0103100D,,0_C0103100D_STAND
,C0113100D,,,,,,,,,1.000000,,1,STAND,0,0_C0113100D,,0_C0113100D_STAND
,C0132100D,,,,,,,,,1.000000,,1,STAND,0,0_C0132100D,,0_C0132100D_STAND
,C0132200D,,,,,,,,,1.000000,,1,STAND,0,0_C0132200D,,0_C0132200D_STAND
,C0136100D,,,,,,,,,1.000000,,1,STAND,0,0_C0136100D,,0_C0136100D_STAND
,C0136200D,,,,,,,,,1.000000,,1,STAND,0,0_C0136200D,,0_C0136200D_STAND
,C0084100D,,,,,,,,,1.000000,,1,STAND,0,0_C0084100D,,0_C0084100D_STAND
,C0094100D,,,,,,,,,1.000000,,1,STAND,0,0_C0094100D,,0_C0094100D_STAND
,C0123101D,,,,,,,,,1.000000,,1,STAND,0,0_C0123101D,,0_C0123101D_STAND
,C0123301D,,,,,,,,,1.000000,,1,STAND,0,0_C0123301D,,0_C0123301D_STAND
,C0103101D,,,,,,,,,1.000000,,1,STAND,0,0_C0103101D,,0_C0103101D_STAND
,C0113101D,,,,,,,,,1.000000,,1,STAND,0,0_C0113101D,,0_C0113101D_STAND
,C0132101D,,,,,,,,,1.000000,,1,STAND,0,0_C0132101D,,0_C0132101D_STAND
,C0132201D,,,,,,,,,1.000000,,1,STAND,0,0_C0132201D,,0_C0132201D_STAND
,C0136101D,,,,,,,,,1.000000,,1,STAND,0,0_C0136101D,,0_C0136101D_STAND
,C0136201D,,,,,,,,,1.000000,,1,STAND,0,0_C0136201D,,0_C0136201D_STAND
,C0094301D,,,,,,,,,1.000000,,1,STAND,0,0_C0094301D,,0_C0094301D_STAND
