empresa,ejercicio,documento,tipo_doc,almacen,orden,c1,c2,c3,facturado,empresa_id,almacen_id,documento_id,name
1,2023,23000066,PC,1,2,,,,0,1,1_1,1_1_PC_23000066_2,1_1_PC_23000066_2
1,2023,23000066,PC,1,3,,,,0,1,1_1,1_1_PC_23000066_3,1_1_PC_23000066_3
1,2023,23000066,PC,1,4,,,,0,1,1_1,1_1_PC_23000066_4,1_1_PC_23000066_4
1,2023,23000049,PC,1,3,,,,0,1,1_1,1_1_PC_23000049_3,1_1_PC_23000049_3
1,2023,23000049,PC,1,4,,,,0,1,1_1,1_1_PC_23000049_4,1_1_PC_23000049_4
1,2023,23000048,PC,1,1,,,,0,1,1_1,1_1_PC_23000048_1,1_1_PC_23000048_1
1,2023,23000048,PC,1,2,,,,0,1,1_1,1_1_PC_23000048_2,1_1_PC_23000048_2
1,2023,23000048,PC,1,3,,,,0,1,1_1,1_1_PC_23000048_3,1_1_PC_23000048_3
1,2023,23000048,PC,1,4,,,,0,1,1_1,1_1_PC_23000048_4,1_1_PC_23000048_4
1,2023,23000078,PC,1,2,,,,0,1,1_1,1_1_PC_23000078_2,1_1_PC_23000078_2
1,2023,23000091,PC,1,2,,,,0,1,1_1,1_1_PC_23000091_2,1_1_PC_23000091_2
1,2023,23000101,PC,1,1,,,,0,1,1_1,1_1_PC_23000101_1,1_1_PC_23000101_1
1,2023,23000101,PC,1,2,,,,0,1,1_1,1_1_PC_23000101_2,1_1_PC_23000101_2
1,2023,23000049,PC,1,5,,,,0,1,1_1,1_1_PC_23000049_5,1_1_PC_23000049_5
1,2023,23000050,PC,1,1,,,,0,1,1_1,1_1_PC_23000050_1,1_1_PC_23000050_1
1,2023,23000050,PC,1,2,,,,0,1,1_1,1_1_PC_23000050_2,1_1_PC_23000050_2
1,2023,23000053,PC,1,1,,,,0,1,1_1,1_1_PC_23000053_1,1_1_PC_23000053_1
1,2023,23000054,PC,1,3,,,,0,1,1_1,1_1_PC_23000054_3,1_1_PC_23000054_3
1,2023,23000113,PC,1,2,,,,0,1,1_1,1_1_PC_23000113_2,1_1_PC_23000113_2
1,2023,23000094,PC,1,1,,,,0,1,1_1,1_1_PC_23000094_1,1_1_PC_23000094_1
1,2023,23000049,PC,1,6,,,,0,1,1_1,1_1_PC_23000049_6,1_1_PC_23000049_6
1,2023,23000049,PC,1,7,,,,0,1,1_1,1_1_PC_23000049_7,1_1_PC_23000049_7
1,2023,23000049,PC,1,8,,,,0,1,1_1,1_1_PC_23000049_8,1_1_PC_23000049_8
1,2023,23000066,PC,1,5,,,,0,1,1_1,1_1_PC_23000066_5,1_1_PC_23000066_5
1,2023,23000067,PC,1,1,,,,0,1,1_1,1_1_PC_23000067_1,1_1_PC_23000067_1
1,2023,23000071,PC,1,2,,,,0,1,1_1,1_1_PC_23000071_2,1_1_PC_23000071_2
1,2023,23000113,PC,1,3,,,,0,1,1_1,1_1_PC_23000113_3,1_1_PC_23000113_3
1,2023,23000113,PC,1,4,,,,0,1,1_1,1_1_PC_23000113_4,1_1_PC_23000113_4
1,2023,23000113,PC,1,5,,,,0,1,1_1,1_1_PC_23000113_5,1_1_PC_23000113_5
1,2023,23000113,PC,1,6,,,,0,1,1_1,1_1_PC_23000113_6,1_1_PC_23000113_6
1,2023,23000049,PC,1,9,,,,0,1,1_1,1_1_PC_23000049_9,1_1_PC_23000049_9
1,2023,23000103,PC,1,1,,,,0,1,1_1,1_1_PC_23000103_1,1_1_PC_23000103_1
1,2023,23000103,PC,1,2,,,,0,1,1_1,1_1_PC_23000103_2,1_1_PC_23000103_2
1,2023,23000114,PC,1,1,,,,0,1,1_1,1_1_PC_23000114_1,1_1_PC_23000114_1
1,2023,23000114,PC,1,2,,,,0,1,1_1,1_1_PC_23000114_2,1_1_PC_23000114_2
1,2023,23000209,PC,1,1,,,,0,1,1_1,1_1_PC_23000209_1,1_1_PC_23000209_1
1,2023,23000116,PC,1,1,,,,0,1,1_1,1_1_PC_23000116_1,1_1_PC_23000116_1
1,2023,23000106,PC,1,1,,,,0,1,1_1,1_1_PC_23000106_1,1_1_PC_23000106_1
1,2023,23000107,PC,1,1,,,,0,1,1_1,1_1_PC_23000107_1,1_1_PC_23000107_1
1,2023,23000059,PC,1,1,,,,0,1,1_1,1_1_PC_23000059_1,1_1_PC_23000059_1
1,2023,23000059,PC,1,2,,,,0,1,1_1,1_1_PC_23000059_2,1_1_PC_23000059_2
1,2023,23000059,PC,1,3,,,,0,1,1_1,1_1_PC_23000059_3,1_1_PC_23000059_3
1,2023,23000060,PC,1,1,,,,0,1,1_1,1_1_PC_23000060_1,1_1_PC_23000060_1
1,2023,23000060,PC,1,2,,,,0,1,1_1,1_1_PC_23000060_2,1_1_PC_23000060_2
1,2023,23000052,PC,1,1,,,,0,1,1_1,1_1_PC_23000052_1,1_1_PC_23000052_1
1,2023,23000052,PC,1,2,,,,0,1,1_1,1_1_PC_23000052_2,1_1_PC_23000052_2
1,2023,23000052,PC,1,3,,,,0,1,1_1,1_1_PC_23000052_3,1_1_PC_23000052_3
1,2023,23000052,PC,1,4,,,,0,1,1_1,1_1_PC_23000052_4,1_1_PC_23000052_4
1,2023,23000047,PC,1,1,,,,0,1,1_1,1_1_PC_23000047_1,1_1_PC_23000047_1
1,2023,23000047,PC,1,2,,,,0,1,1_1,1_1_PC_23000047_2,1_1_PC_23000047_2
1,2023,23000038,PC,1,1,,,,0,1,1_1,1_1_PC_23000038_1,1_1_PC_23000038_1
