emp,eje,alm,doc,observacion,faviso,empresa_id,ejercicio_id,almacen_id,name
1,2006,1,11003,,,1,1_2006,1_1,1_2006_11003
1,2006,1,11004,,,1,1_2006,1_1,1_2006_11004
1,2006,1,11005,,,1,1_2006,1_1,1_2006_11005
1,2006,1,11006,,,1,1_2006,1_1,1_2006_11006
1,2006,1,11008,,,1,1_2006,1_1,1_2006_11008
1,2006,1,11009,,,1,1_2006,1_1,1_2006_11009
1,2006,1,11010,,,1,1_2006,1_1,1_2006_11010
1,2006,1,11011,,,1,1_2006,1_1,1_2006_11011
1,2006,1,11012,,,1,1_2006,1_1,1_2006_11012
1,2006,1,11013,,,1,1_2006,1_1,1_2006_11013
1,2006,1,11087,,,1,1_2006,1_1,1_2006_11087
1,2006,1,11106,,,1,1_2006,1_1,1_2006_11106
1,2006,1,11120,,,1,1_2006,1_1,1_2006_11120
1,2006,1,11144,,,1,1_2006,1_1,1_2006_11144
1,2006,1,11164,,,1,1_2006,1_1,1_2006_11164
1,2006,1,11174,,,1,1_2006,1_1,1_2006_11174
1,2006,1,11237,,,1,1_2006,1_1,1_2006_11237
1,2006,1,11243,,,1,1_2006,1_1,1_2006_11243
1,2006,1,11247,,,1,1_2006,1_1,1_2006_11247
1,2006,1,11248,,,1,1_2006,1_1,1_2006_11248
1,2006,1,11250,,,1,1_2006,1_1,1_2006_11250
1,2006,1,11272,,,1,1_2006,1_1,1_2006_11272
1,2006,1,11288,,,1,1_2006,1_1,1_2006_11288
1,2006,1,11289,,,1,1_2006,1_1,1_2006_11289
1,2006,1,11290,,,1,1_2006,1_1,1_2006_11290
1,2006,1,11292,,,1,1_2006,1_1,1_2006_11292
1,2006,1,11293,,,1,1_2006,1_1,1_2006_11293
1,2006,1,11302,,,1,1_2006,1_1,1_2006_11302
1,2006,1,11309,,,1,1_2006,1_1,1_2006_11309
1,2006,1,11317,,,1,1_2006,1_1,1_2006_11317
1,2006,1,11318,,,1,1_2006,1_1,1_2006_11318
1,2006,1,11319,,,1,1_2006,1_1,1_2006_11319
1,2006,1,11320,,,1,1_2006,1_1,1_2006_11320
1,2006,1,11322,,,1,1_2006,1_1,1_2006_11322
1,2006,1,11327,,,1,1_2006,1_1,1_2006_11327
1,2006,1,11328,,,1,1_2006,1_1,1_2006_11328
1,2006,1,11329,,,1,1_2006,1_1,1_2006_11329
1,2006,1,11332,,,1,1_2006,1_1,1_2006_11332
1,2006,1,11333,,,1,1_2006,1_1,1_2006_11333
1,2006,1,11334,,,1,1_2006,1_1,1_2006_11334
1,2006,1,11335,,,1,1_2006,1_1,1_2006_11335
